community,,14365,,3395,,305,,1640,,1955,,535,,894,,1095,,174,,598,,728,,124,Province / Territory,Population
Jade City,pre-2000-single,6,2001-2015-single,0,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,BC,25
Jean Marie River,pre-2000-single,0,2001-2015-single,5,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,NT,63
Kakisa,pre-2000-single,15,2001-2015-single,0,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,NT,39
Kangiqsualujjuaq,pre-2000-single,70,2001-2015-single,20,post-2016-single,0,pre-2000-semi,30,2001-2015-semi,45,post-2016-semi,35,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,3,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,2,QC,956
Kangiqsujuaq,pre-2000-single,60,2001-2015-single,0,post-2016-single,0,pre-2000-semi,25,2001-2015-semi,75,post-2016-semi,50,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,QC,837
Kangirsuk,pre-2000-single,60,2001-2015-single,0,post-2016-single,0,pre-2000-semi,25,2001-2015-semi,60,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,QC,561
Kimmirut,pre-2000-single,60,2001-2015-single,0,post-2016-single,0,pre-2000-semi,25,2001-2015-semi,10,post-2016-semi,55,pre-2000-row-mid,9,2001-2015-row-mid,6,post-2016-row-mid,6,pre-2000-row-end,6,2001-2015-row-end,4,post-2016-row-end,4,NU,426
Kingcome Inlet,pre-2000-single,35,2001-2015-single,0,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,BC,111
Kinoosao,pre-2000-single,0,2001-2015-single,5,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,SK,10
Kluskus,pre-2000-single,10,2001-2015-single,0,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,BC,38
